W	H	Station
480.8	416.2	1
500.4	451.3	1
413.4	360.6	1
670.4	599.2	1
406.2	365.5	1
453	388	1
449.8	385.4	1
433.3	358.9	1
437.9	376.4	1
428.8	365.6	1
347	287.9	1
354.8	312.9	1
446	368.4	1
427.7	391.8	1
400.4	348.2	1
384.6	323.6	1
424.1	348.7	1
406.6	351.8	1
364.8	337.7	1
300	224.9	1
340.3	295.1	1
244.8	199.7	1
357.3	290	1
239.2	195	1
217.2	181.9	1
223.7	183	1
238.2	191.1	1
205	183.9	1
214.2	168.4	1
205.2	160.3	1
207.7	158.1	1
206.9	166.7	1
201.4	150.6	1
177.4	129.5	1
210.4	152.9	1
170.2	140.4	1
234.5	171.1	1
350.3	310.7	1
234.5	177.8	1
314.8	265.1	1
318.4	283.2	1
339.2	290.9	1
250	217.1	1
267.5	231.3	1
296.6	253.9	1
304	233.4	1
269.7	192	1
239.5	206.7	1
271.5	227.2	1
236.2	222.7	1
332.4	283	1
290	247.1	1
235.7	198.2	1
231.7	189.4	1
207.1	158.3	2
210.6	158.5	2
216.3	167.2	2
239.7	191.2	2
358.1	301.8	2
393.8	328.8	2
407	323.1	2
478.6	382.2	2
486.7	404.5	2
516.5	410.3	2
526.8	411.8	2
537.3	386.9	2
540.2	427.6	2
541.3	436.9	2
548.4	505.9	2
554.5	452.4	2
563	460.7	2
568.7	470.5	2
585.2	475.8	2
593.4	448.9	2
610.3	513.8	2
622.7	530.6	2
624.2	504.1	2
634.8	512.6	2
654.9	522.2	2
658.2	527.4	2
680.1	556	2
688.1	532.5	2
764.8	644	2
764.8	644	2
